Epoch,Time,Heading,,
2016/8/3,06:05:37 AM,18.81,,0
2016/8/3,06:05:38 AM,345.5,,360
2016/8/3,06:05:39 AM,294.19,,360
2016/8/3,06:05:40 AM,246.13,,180
2016/8/3,06:05:41 AM,214.44,,180
2016/8/3,06:05:42 AM,201.44,,180
2016/8/3,06:05:43 AM,203,,180
2016/8/3,06:05:44 AM,204.06,,180
2016/8/3,06:05:45 AM,205.63,,180
2016/8/3,06:05:46 AM,206.88,,180
2016/8/3,06:05:47 AM,210.44,,180
2016/8/3,06:05:48 AM,209.44,,180
2016/8/3,06:05:49 AM,210.19,,180
2016/8/3,06:05:50 AM,209.06,,180
2016/8/3,06:05:52 AM,208.5,,180
2016/8/3,06:05:53 AM,204.56,,180
2016/8/3,06:05:54 AM,209.94,,180
2016/8/3,06:05:55 AM,208.69,,180
2016/8/3,06:05:56 AM,206.63,,180
2016/8/3,06:05:57 AM,206.31,,180
2016/8/3,06:05:58 AM,210.38,,180
2016/8/3,06:05:59 AM,213.69,,180
2016/8/3,06:06:00 AM,213.75,,180
2016/8/3,06:06:01 AM,205.81,,180
2016/8/3,06:06:02 AM,202.13,,180
2016/8/3,06:06:03 AM,202.56,,180
2016/8/3,06:06:04 AM,202.31,,180
2016/8/3,06:06:05 AM,204.13,,180
2016/8/3,06:06:06 AM,204.63,,180
2016/8/3,06:06:07 AM,205,,180
2016/8/3,06:06:08 AM,203.88,,180
2016/8/3,06:06:09 AM,207.81,,180
2016/8/3,06:06:10 AM,214.38,,180
2016/8/3,06:06:11 AM,214.44,,180
2016/8/3,06:06:12 AM,212,,180
2016/8/3,06:06:13 AM,211.75,,180
2016/8/3,06:06:14 AM,210.5,,180
2016/8/3,06:06:15 AM,211.38,,180
2016/8/3,06:06:16 AM,210.56,,180
2016/8/3,06:06:17 AM,211.06,,180
2016/8/3,06:06:18 AM,210.44,,180
2016/8/3,06:06:19 AM,208.13,,180
2016/8/3,06:06:20 AM,200.31,,180
2016/8/3,06:06:21 AM,198,,180
2016/8/3,06:06:22 AM,203.06,,180
2016/8/3,06:06:23 AM,207.31,,180
2016/8/3,06:06:24 AM,203.69,,90
2016/8/3,06:06:25 AM,183.13,,90
2016/8/3,06:06:26 AM,143.06,,90
2016/8/3,06:06:27 AM,122.25,,90
2016/8/3,06:06:28 AM,116.12,,90
2016/8/3,06:06:29 AM,112.5,,90
2016/8/3,06:06:30 AM,114.5,,90
2016/8/3,06:06:31 AM,115.37,,90
2016/8/3,06:06:32 AM,117.31,,90
2016/8/3,06:06:33 AM,116.31,,90
2016/8/3,06:06:34 AM,121,,90
